X,Y,Label,Usuario,FrameID,Session
401.1867,173.54651,left_ear,user1,3,20240429152430
268.21436,178.7746,right_ear,user1,3,20240429152430
509.20065,370.5115,left_shoulder,user1,3,20240429152430
162.67003,369.73004,right_shoulder,user1,3,20240429152430
0.0,0.0,left_elbow,user1,3,20240429152430
0.0,0.0,right_elbow,user1,3,20240429152430
0.0,0.0,left_wrist,user1,3,20240429152430
0.0,0.0,right_wrist,user1,3,20240429152430
0.0,0.0,left_hip,user1,3,20240429152430
0.0,0.0,right_hip,user1,3,20240429152430
0.0,0.0,left_knee,user1,3,20240429152430
0.0,0.0,right_knee,user1,3,20240429152430
0.0,0.0,left_ankle,user1,3,20240429152430
0.0,0.0,right_ankle,user1,3,20240429152430
343.7111,186.49844,nose,user1,4,20240429152430
368.36935,155.67316,left_eye,user1,4,20240429152430
310.99112,156.41513,right_eye,user1,4,20240429152430
401.77213,174.34079,left_ear,user1,4,20240429152430
268.8823,179.58163,right_ear,user1,4,20240429152430
508.395,376.73608,left_shoulder,user1,4,20240429152430
160.60786,370.0005,right_shoulder,user1,4,20240429152430
0.0,0.0,left_elbow,user1,4,20240429152430
0.0,0.0,right_elbow,user1,4,20240429152430
0.0,0.0,left_wrist,user1,4,20240429152430
0.0,0.0,right_wrist,user1,4,20240429152430
0.0,0.0,left_hip,user1,4,20240429152430
0.0,0.0,right_hip,user1,4,20240429152430
0.0,0.0,left_knee,user1,4,20240429152430
0.0,0.0,right_knee,user1,4,20240429152430
0.0,0.0,left_ankle,user1,4,20240429152430
0.0,0.0,right_ankle,user1,4,20240429152430
343.4637,185.48584,nose,user1,5,20240429152430
368.41974,155.73264,left_eye,user1,5,20240429152430
310.739,155.48132,right_eye,user1,5,20240429152430
401.97894,176.16107,left_ear,user1,5,20240429152430
268.4049,179.51227,right_ear,user1,5,20240429152430
515.642,373.044,left_shoulder,user1,5,20240429152430
166.08496,370.09515,right_shoulder,user1,5,20240429152430
0.0,0.0,left_elbow,user1,5,20240429152430
0.0,0.0,right_elbow,user1,5,20240429152430
0.0,0.0,left_wrist,user1,5,20240429152430
0.0,0.0,right_wrist,user1,5,20240429152430
0.0,0.0,left_hip,user1,5,20240429152430
0.0,0.0,right_hip,user1,5,20240429152430
0.0,0.0,left_knee,user1,5,20240429152430
0.0,0.0,right_knee,user1,5,20240429152430
0.0,0.0,left_ankle,user1,5,20240429152430
0.0,0.0,right_ankle,user1,5,20240429152430
343.48135,185.37932,nose,user1,6,20240429152430
368.42606,155.32751,left_eye,user1,6,20240429152430
310.67795,155.96796,right_eye,user1,6,20240429152430
401.98538,175.11955,left_ear,user1,6,20240429152430
268.4818,180.09042,right_ear,user1,6,20240429152430
510.61047,369.11346,left_shoulder,user1,6,20240429152430
163.74135,370.3324,right_shoulder,user1,6,20240429152430
